招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
架构师（云计算）,上海煜麦网络科技有限公司,成都,武侯区,50000,65000,57500.0,10年以上,10,,本科,云计算,云计算,负责云计算平台研发管理与技术攻坚,OpenStack架构、K8s架构、Linux系统、云管平台、容器技术、中间件技术、数据库高可用方案、IaaS/PaaS平台技术,2024-03-25 ,2024-03
废纸回收储备场长,四川华侨凤凰纸业有限公司,成都,彭州市,4000,8000,6000.0,无经验要求,,,中专及以下,自动驾驶,无人驾驶,废纸回收场管理及设备操作维护,废纸验收、设备操作、设备维护、台账管理、客户沟通、现金结算,2024-12-05 ,2024-12
协同算法工程师,浙江湖州飞航智能技术研究中心有限公司,杭州,余杭区,15000,30000,22500.0,无经验要求,,,硕士,机器学习、数据挖掘,机器学习,负责多模态目标态势估计及协同算法设计与实现,C/C++、数据结构与算法、ARM/DSP嵌入式开发、惯性导航、信息融合、网口/串口/总线通讯,2024-03-29 ,2024-03
路侧感知算法工程师,长沙智能驾驶研究院有限公司,长沙,岳麓区,12000,20000,16000.0,1-3年,1,,硕士,机器学习、深度学习,深度学习,负责路侧感知算法研发与优化及项目实施,C/C++、OpenCV、TensorFlow、PyTorch、机器视觉、图像算法,2024-08-30 ,2024-08
业务分析专员/助理,中展业（深圳）科技有限公司合肥分公司,合肥,nan,5000,10000,7500.0,无经验要求,,,中专及以下,数据挖掘,数据挖掘,负责业务数据分析与可视化报告制作,数据收集、数据清洗、数据分析、数据可视化、数据挖掘,2024-11-17 ,2024-11
金蝶软件销售,哈尔滨市明辰科技有限责任公司,哈尔滨,nan,4000,8000,6000.0,无经验要求,,,大专,云计算,云计算,负责公司产品市场销售及客户关系维护,市场营销、销售策略、客户关系管理、CRM系统、数字化管理、云计算、合同法、投标法,2024-07-11 ,2024-07
KOLON会员运营经理,上海群隆服饰有限公司,成都,,10000,15000,12500.0,5-10年,5,,本科,数据挖掘,数据挖掘,负责CRM数据挖掘及区域营销活动策划,CRM数据挖掘、数据分析、活动策划、媒体资源开发、社交平台运营、品牌活动执行,2024-12-05 ,2024-12
系统架构工程师,成都凯路威电子有限公司,成都,nan,10000,15000,12500.0,1-3年,2,,本科,云计算,云计算,负责系统架构设计与优化，指导团队实现高可用系统,系统架构设计、分布式系统、数据库技术、云计算、技术选型、问题解决、团队协作,2024-10-27 ,2024-10
java开发工程师,深圳市金信科技有限责任公司,深圳,罗湖区,12000,16000,14000.0,1-3年,1,3,本科,分布式计算,分布式计算,Java开发工程师，熟悉分布式计算及前后端框架,Java、Spring框架、Vue.js、JavaScript、JQuery、分布式计算、微服务,2024-03-16 ,2024-03
视觉算法工程师,沈阳新松机器人自动化股份有限公司,沈阳,浑南区,15000,30000,22500.0,3-5年,3,,本科,图像识别、计算机视觉、模式识别,计算机视觉,负责机器人视觉算法开发与障碍物识别,计算机视觉、OpenCV、Linux、C/C++、Python、3D视觉、图像识别、模式识别,2024-07-20 ,2024-07
云计算工程师,深圳市盛凯信息科技有限公司,厦门,思明区,8000,15000,11500.0,无经验要求,,,大专,云计算,云计算,负责云计算产品实施及解决方案设计,华为虚拟化、桌面云、HCS、集中式存储、分布式存储、HCIE证书、项目交付,2024-03-15 ,2024-03
视频监控销售工程师,熵基科技股份有限公司,杭州,上城区,10000,15000,12500.0,1-3年,1,,本科,智能家居,智能家居,负责视频监控客户开拓与市场策略制定,视频监控产品销售、市场策略制定、客户关系管理、营销技巧、英语沟通、安防行业知识,2024-11-14 ,2024-11
人工智能算法工程师,安徽明生恒卓科技有限公司,合肥,蜀山区,20000,30000,25000.0,3-5年,3,5,本科,机器学习、人工智能、自然语言处理、深度学习,人工智能,负责AI项目开发及算法优化,Python、机器学习、深度学习、自然语言处理、TensorFlow、PyTorch、数据预处理、模型评估,2024-03-28 ,2024-03
5G物理层FPGA开发工程师,北京三星通信技术研究有限公司,北京,朝阳区,15000,30000,22500.0,无经验要求,,,硕士,人工智能,人工智能,负责5G物理层及MMU/RU的RTL开发与验证,Verilog开发语言、无线通信协议、数字信号处理、5G物理层开发、RTL开发,2024-10-03 ,2024-10
全栈开发工程师,广东省大湾区华南理工大学聚集诱导发光高等研究院,广州,黄埔区,19000,23000,21000.0,1-3年,1,3,本科,深度学习,深度学习,全栈开发，负责Web架构及数据库建设,HTML/CSS/JavaScript、Python、Django/Flask、MySQL、Git、Docker、深度学习,2024-03-26 ,2024-03
面试官,云南顺曦人力资源有限公司,昆明,官渡区,5500,6500,6000.0,无经验要求,,,不限,数据挖掘,数据挖掘,负责公司人事管理及招聘培训工作,数据分析、数据挖掘、绩效考核、薪酬福利管理、员工关系维护,2024-11-19 ,2024-11
新业务运营部数据治理岗,数字广西集团有限公司,南宁,青秀区,10000,15000,12500.0,3-5年,3,,本科,数据挖掘,数据挖掘,县域数据产品规划与治理优化,Python、SQL、数据挖掘、大数据技术栈、数据分析工具、产品需求文档编写、售前技术支持、业务流程优化,2024-08-29 ,2024-08
Java高级开发工程师,中科星图慧安科技有限公司,海口,nan,15000,25000,20000.0,5-10年,5,,本科,大数据平台,大数据平台,大数据中台设计开发及数据治理,Java、Spring框架、Hadoop生态、数据治理、分布式系统、数据库管理、数据仓库、脚本开发,2024-09-21 ,2024-09
用户运营,广州同玩科技有限公司,广州,海珠区,9000,12000,10500.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责用户运营及数据分析，提升用户活跃与留存,数据分析、用户需求分析、运营策略制定、竞品分析、用户生命周期管理,2024-03-27 ,2024-03
电销专员,江苏太湖慧云数据系统有限公司,无锡,滨湖区,5000,8000,6500.0,无经验要求,,,大专,云计算,云计算,负责客户销售跟进及关系维护,销售能力、客户沟通、客情维护、问题解决、销售谈判,2024-07-11 ,2024-07
超融合/云计算产品测试工程师,杭州宏杉科技股份有限公司,杭州,nan,12000,18000,15000.0,3-5年,3,,本科,云计算,云计算,负责云计算产品测试及性能优化,Linux系统、Python脚本、性能测试工具、OpenStack、自动化测试、分布式系统、虚拟化技术,2024-11-06 ,2024-11
高级数据分析师,安客诚信息服务（上海）有限公司,上海,徐汇区,15000,20000,17500.0,3-5年,3,4,本科,数据挖掘,数据挖掘,数据分析与挖掘，市场策略优化,数据分析、数据挖掘、市场策略分析、Excel、PPT、消费者洞察、竞争对手分析,2024-09-28 ,2024-09
网络工程师,四川星云数海信息技术有限公司,成都,温江区,3000,5000,4000.0,实习/应届,,,大专,云计算,云计算,负责网络及云计算项目实施与运维,网络工程、云计算、网络安全、设备调试、故障诊断、售前支持、解决方案设计,2024-09-03 ,2024-09
JAVA后端研发工程师,长园深瑞能源技术有限公司,珠海,香洲区,12000,20000,16000.0,3-5年,3,5,本科,大数据分析,大数据分析,负责Java后端开发及大数据分析处理,Spring Cloud、Spring Boot、MyBatis、Redis、MySQL、Shiro、JWT、POI,2024-04-16 ,2024-04
数据分析师助理,深圳市科创云通科技有限公司,贵阳,观山湖区,6000,10000,8000.0,无经验要求,,,大专,数据挖掘,数据挖掘,负责数据分析与挖掘，优化电商业务,数据分析、数据挖掘、Java、逻辑思维、沟通能力、抗压能力,2024-10-19 ,2024-10
商业AIGC组_商业产品市场/客户运营,百度在线网络技术（北京）有限公司,北京,海淀区,20000,40000,30000.0,3-5年,3,5,本科,AI产品,人工智能,负责AIGC产品运营及客户赋能,产品运营、AIGC应用、数据分析、广告策略优化、跨部门沟通、市场推广、客户反馈分析,2024-03-28 ,2024-03
大数据开发岗,中信银行股份有限公司信用卡中心,深圳,福田区,20000,40000,30000.0,3-5年,3,5,不限,大数据平台,大数据平台,负责大数据平台开发与数据分析工作,SQL、Java、Python、Scala、R、数据开发、需求分析、数据分析,2024-03-29 ,2024-03
运营专员（数据方向）,江苏苏美达机电有限公司,南京,nan,8000,12000,10000.0,5-10年,5,,本科,数据挖掘,数据挖掘,负责运营数据分析及数据挖掘工作,数据统计分析、数据挖掘、风险识别分析、报表制作、运营报告撰写,2024-07-20 ,2024-07
高级网络规划工程师,普天信息工程设计服务有限公司,福州,,8000,15000,11500.0,3-5年,3,,不限,云计算,云计算,负责网络规划与云计算架构设计,网络规划、云计算、云架构设计,2024-08-14 ,2024-08
大数据平台开发工程师,因诺（上海）资产管理有限公司,北京,西城区,35000,45000,40000.0,5-10年,5,10,本科,大数据处理、大数据平台,大数据处理,搭建大数据平台，处理金融数据,Hadoop、Spark、Flink、Python、Kafka、Linux、数据仓库设计,2024-03-27 ,2024-03
视觉算法工程师（博士岗）,三星电子(中国)研发中心,南京,雨花台区,23000,38000,30500.0,1-3年,1,3,博士,机器学习、深度学习、模式识别、人脸识别,深度学习,视觉算法研究与开发，涵盖图像分析、多模态任务及AIGC技术,图像处理、深度学习、模式识别、人脸识别、AIGC算法、轻量级模型开发、学术论文撰写,2024-03-11 ,2024-03
资深内容算法专家,北京三快在线科技有限公司,北京,朝阳区,80000,100000,90000.0,3-5年,3,5,硕士,深度学习,深度学习,负责内容算法及个性化分发，推进AIGC应用,深度学习、算法策略、数据处理、大规模并发服务、AIGC应用、内容理解、搜索推荐,2024-03-28 ,2024-03
Python,武汉佰钧成技术有限责任公司,东莞,松山湖区,13000,25000,19000.0,1-3年,1,5,本科,自然语言处理、计算机视觉、深度学习,深度学习,Python开发，深度学习模型设计与优化,Python、深度学习、Transformer、BERT、GPU集群、数据处理、算法优化、模型调试,2024-10-14 ,2024-10
激光软件主任/高级工程师,惠州市赢合智能技术有限公司,惠州,nan,16000,25000,20500.0,3-5年,3,,本科,人机交互,人工智能,负责人机交互软件开发及系统调试工作,PYQT、C#、C/C++、数据库开发、通信接口开发、插补算法、自动化设备调试、激光器控制,2024-10-06 ,2024-10
新媒体运营主管,西安西交一八九六孵化器有限公司,西安,高新技术产业开发区,7000,8000,7500.0,3-5年,3,,本科,大数据运营,人工智能,新媒体运营及内容生产，提升品牌影响力,新媒体运营、短视频制作、数据分析、剪辑软件使用、内容生产、园区服务,2024-11-13 ,2024-11
机械工程师,浙江环龙机器有限公司,湖州,德清县,8000,15000,11500.0,3-5年,3,,大专,机器人自动化,机器人自动化,负责自动化机械设计及设备优化,自动化机械设计、三维机械设计软件、电气工程知识、团队合作、项目管理,2024-08-26 ,2024-08
数据分析师,上海柏巨电子科技有限公司,苏州,吴中区,7000,10000,8500.0,无经验要求,,,大专,大数据分析,大数据分析,负责数据分析及销售策略制定与执行,销售策略制定、市场分析、团队管理、Excel数据分析、销售目标管理、行业信息反馈,2024-10-27 ,2024-10
电子产品经理,异次元（西安）信息科技有限公司,重庆,渝中区,,,,无经验要求,,,不限,,人工智能,,,2024-11-26 ,2024-11
国际站运营,东莞市奥讯塑胶制品有限公司,东莞,谢岗镇,5000,8000,6500.0,3-5年,3,,本科,数据挖掘,数据挖掘,负责国际电商运营及市场推广，提升业绩与品牌影响力,数据分析、数据挖掘、电商平台运营、市场推广、用户调研、跨部门沟通、英语能力、运营策略制定,2024-11-25 ,2024-11
交互设计（实习）,湖南大学重庆研究院,重庆,渝北区,2000,4000,3000.0,无经验要求,,,本科,人机交互,人机交互,负责汽车交互设计及人机交互方案制定,人机交互设计、竞品分析、Figma、Photoshop、Protopie、交互原型设计,2024-04-18 ,2024-04
数据分析师,安徽兆斯控信息科技有限公司,济南,历下区,8000,13000,10500.0,无经验要求,,,大专,数据挖掘,数据挖掘,负责数据管理体系搭建与分析建模,数据挖掘、Excel、ERP系统、数据分析、统计建模、数据敏感、逻辑分析,2024-10-18 ,2024-10
解决方案经理（衡阳县）,中国电信股份有限公司湖南分公司,衡阳,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能、云计算,人工智能,售前支撑与客户需求解决方案设计,售前支撑、需求分析、解决方案设计、云计算、大数据,2024-08-20 ,2024-08
